transaction_id,customer_id,amount,currency,payment_method,timestamp,status,failure_reason,failure_category,previous_attempts,customer_success_rate,customer_tenure_days,subscription_status,invoice_age_days,previous_payment_count,previous_successful_payment_count,previous_failed_payment_count,latent_recovery_prob,recovery_outcome,recovered_amount
TXN-10001,CUST-3619,1372.17,INR,UPI,2026-08-14T18:25:56,FAILED,GENERIC_DECLINE,UNKNOWN,1,0.875,1045,NONE,0,8,7,1,0.2949,1,1372.17
TXN-10002,CUST-2003,705.53,INR,CREDIT_CARD,2026-08-06T09:24:55,FAILED,NETWORK_INTERRUPT,TEMPORARY,0,0.9091,748,NONE,0,11,10,1,0.98,1,705.53
TXN-10003,CUST-3771,10419.54,INR,NACH_EMANDATE,2026-08-02T23:01:46,FAILED,AUTHENTICATION_FAILED,CUSTOMER_ACTION_REQUIRED,2,0.625,647,INACTIVE,2,8,5,3,0.2764,1,10419.54
TXN-10004,CUST-1122,6200.06,INR,CREDIT_CARD,2026-08-25T22:46:53,FAILED,GATEWAY_TIMEOUT,TEMPORARY,1,0.9091,1026,ACTIVE,1,11,10,1,0.98,1,6200.06
TXN-10005,CUST-3465,4852.32,INR,NACH_EMANDATE,2026-08-27T20:54:10,FAILED,AUTHENTICATION_FAILED,CUSTOMER_ACTION_REQUIRED,0,0.9,792,ACTIVE,21,10,9,1,0.6192,0,0.0
TXN-10006,CUST-2718,752.85,INR,NET_BANKING,2026-08-14T22:06:56,FAILED,NETWORK_INTERRUPT,TEMPORARY,2,0.8571,593,NONE,0,14,12,2,0.5837,1,752.85
TXN-10007,CUST-1026,1357.34,INR,NET_BANKING,2026-08-14T21:44:36,FAILED,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,1,0.8462,684,INACTIVE,4,13,11,2,0.4723,0,0.0
TXN-10008,CUST-1636,1901.04,INR,DEBIT_CARD,2026-08-05T22:03:24,FAILED,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,0,0.5714,892,ACTIVE,1,7,4,3,0.8197,1,1901.04
TXN-10009,CUST-2556,399.26,INR,DEBIT_CARD,2026-08-30T17:23:30,FAILED,GATEWAY_TIMEOUT,TEMPORARY,0,0.9231,578,INACTIVE,10,13,12,1,0.9586,1,399.26
TXN-10010,CUST-2083,524.52,INR,NET_BANKING,2026-08-07T11:25:58,FAILED,GATEWAY_TIMEOUT,TEMPORARY,2,0.9091,633,NONE,0,11,10,1,0.7636,1,524.52
TXN-10011,CUST-2550,9118.5,INR,NACH_EMANDATE,2026-08-18T23:20:07,FAILED,GENERIC_DECLINE,UNKNOWN,0,0.6364,1137,INACTIVE,2,11,7,4,0.4762,0,0.0
TXN-10012,CUST-3364,2444.49,INR,UPI,2026-08-12T11:31:14,FAILED,NETWORK_INTERRUPT,TEMPORARY,0,0.7143,401,ACTIVE,9,14,10,4,0.965,1,2444.49
TXN-10013,CUST-2185,2433.45,INR,CREDIT_CARD,2026-08-19T20:52:44,FAILED,AUTHENTICATION_FAILED,CUSTOMER_ACTION_REQUIRED,0,0.7,147,ACTIVE,5,10,7,3,0.5924,0,0.0
TXN-10014,CUST-2138,785.37,INR,DEBIT_CARD,2026-08-19T09:17:31,FAILED,CARD_LIMIT_EXCEEDED,CUSTOMER_ACTION_REQUIRED,1,0.8462,263,ACTIVE,5,13,11,2,0.5049,0,0.0
TXN-10015,CUST-2455,5884.24,INR,DEBIT_CARD,2026-08-04T21:11:23,FAILED,BLOCKED_CARD,PERMANENT,1,0.6667,628,NONE,0,6,4,2,0.01,0,0.0
TXN-10016,CUST-3495,2188.24,INR,NACH_EMANDATE,2026-08-13T07:13:31,FAILED,INSUFFICIENT_FUNDS,CUSTOMER_ACTION_REQUIRED,1,0.75,161,NONE,0,8,6,2,0.6769,1,2188.24
TXN-10017,CUST-1669,2427.21,INR,NET_BANKING,2026-08-28T10:53:36,FAILED,UNHANDLED_ERROR_CODE,UNKNOWN,0,0.9333,27,INACTIVE,1,15,14,1,0.4772,1,2427.21
TXN-10018,CUST-1899,2791.42,INR,UPI,2026-08-02T23:23:58,FAILED,BANK_SERVER_DOWN,TEMPORARY,3,0.9,477,ACTIVE,1,10,9,1,0.522,1,2791.42
TXN-10019,CUST-2292,1364.77,INR,DEBIT_CARD,2026-08-11T15:48:46,FAILED,PROCESSING_DELAY,TEMPORARY,2,0.8571,686,ACTIVE,6,7,6,1,0.5669,0,0.0
TXN-10020,CUST-3323,4352.32,INR,CREDIT_CARD,2026-08-25T15:38:47,FAILED,ACCOUNT_CLOSED,PERMANENT,2,0.5833,903,NONE,0,12,7,5,0.01,0,0.0
TXN-10021,CUST-2620,1376.34,INR,CREDIT_CARD,2026-08-08T04:40:52,FAILED,PROCESSING_DELAY,TEMPORARY,1,0.7,854,INACTIVE,3,10,7,3,0.8573,1,1376.34
TXN-10022,CUST-2010,8598.07,INR,NACH_EMANDATE,2026-08-29T17:51:54,FAILED,OTP_EXPIRED,CUSTOMER_ACTION_REQUIRED,2,1.0,992,INACTIVE,1,12,12,0,0.4049,0,0.0
TXN-10023,CUST-2635,403.26,INR,CREDIT_CARD,2026-08-26T03:38:28,FAILED,BANK_SERVER_DOWN,TEMPORARY,3,0.7273,791,ACTIVE,13,11,8,3,0.5299,0,0.0
TXN-10024,CUST-3021,1629.3,INR,UPI,2026-08-08T20:04:22,FAILED,AUTHENTICATION_FAILED,CUSTOMER_ACTION_REQUIRED,0,0.9,154,ACTIVE,3,10,9,1,0.98,1,1629.3
TXN-10025,CUST-3570,674.49,INR,NET_BANKING,2026-08-04T12:00:54,FAILED,NETWORK_INTERRUPT,TEMPORARY,0,0.7368,522,NONE,0,19,14,5,0.9665,1,674.49
TXN-10026,CUST-2576,5246.26,INR,NACH_EMANDATE,2026-08-27T02:27:46,FAILED,CARD_LIMIT_EXCEEDED,CUSTOMER_ACTION_REQUIRED,2,0.7692,690,INACTIVE,5,13,10,3,0.4117,1,5246.26
TXN-10027,CUST-2029,999.38,INR,UPI,2026-08-27T11:36:56,FAILED,GATEWAY_TIMEOUT,TEMPORARY,0,0.5385,499,NONE,0,13,7,6,0.9093,1,999.38
TXN-10028,CUST-2092,1269.57,INR,UPI,2026-08-22T12:32:17,FAILED,ACCOUNT_CLOSED,PERMANENT,0,0.6,729,INACTIVE,2,15,9,6,0.1788,0,0.0
TXN-10029,CUST-1647,3943.89,INR,UPI,2026-08-14T04:52:13,FAILED,PROCESSING_DELAY,TEMPORARY,3,0.6667,37,NONE,0,9,6,3,0.2135,0,0.0
TXN-10030,CUST-3050,462.36,INR,NACH_EMANDATE,2026-08-15T21:42:48,FAILED,NETWORK_INTERRUPT,TEMPORARY,3,0.6429,76,ACTIVE,14,14,9,5,0.6043,0,0.0
TXN-10031,CUST-3617,500.09,INR,CREDIT_CARD,2026-08-09T06:13:05,FAILED,BLOCKED_CARD,PERMANENT,4,0.6667,398,INACTIVE,7,12,8,4,0.01,0,0.0
TXN-10032,CUST-3209,3217.02,INR,NACH_EMANDATE,2026-08-25T03:16:00,FAILED,GATEWAY_TIMEOUT,TEMPORARY,2,0.75,634,INACTIVE,1,8,6,2,0.584,0,0.0
